Column1,Column2,Column3,Column4
1bSZHrDeRPLFMwi2MWeOKF,?ã Bao L?n,"A.C Xuân Tài, Mew",https://open.spotify.com/track/1bSZHrDeRPLFMwi2MWeOKF
7sZ2QWlXZqODQkmxRnJGjT,Sài Gòn Hôm Nay M?a - 1 9 6 7 Remix,"JSOL, Hoàng Duyên",https://open.spotify.com/track/7sZ2QWlXZqODQkmxRnJGjT
5BTzf3doGTigDIYUFtbkI9,Sinh Ra ?ã Là Th? ??i L?p Nhau (feat. Badbies),"Emcee L (Da LAB), Da LAB, Badbies",https://open.spotify.com/track/5BTzf3doGTigDIYUFtbkI9
10SYupbJ8acoR1EnCyRn5b,Voicemail 2: phone calls.,Han Kim,https://open.spotify.com/track/10SYupbJ8acoR1EnCyRn5b
3XRvVlOBvClOq1KpI50uKC,gi? l?y làm gì,MONSTAR,https://open.spotify.com/track/3XRvVlOBvClOq1KpI50uKC
4aiBWa197wmHSdYM4FYjNc,Yêu C?u??,Lê Hoàng B?o Anh,https://open.spotify.com/track/4aiBWa197wmHSdYM4FYjNc
1rVTKF2XF1l3OqHoXNa4kc,Tìm Th?y Nhau,SIVAN,https://open.spotify.com/track/1rVTKF2XF1l3OqHoXNa4kc
6kCU6i8iRrAAmJJ8Sj4JYC,N?ng có mang em v?,"Shartnuss, Tr.D, Phankeo",https://open.spotify.com/track/6kCU6i8iRrAAmJJ8Sj4JYC
6qyK9SquQSHvNzrGHEUYNV,23:40,Hào,https://open.spotify.com/track/6qyK9SquQSHvNzrGHEUYNV
5yNB5nPXblrSwtS9d0ssAU,id 2022 (feat. 267),"W/N, 267",https://open.spotify.com/track/5yNB5nPXblrSwtS9d0ssAU
3qKvcl5QqVVuqrEWFLrLMJ,2h sáng ai v?n còn ?ang khóc,"V??ng Cây, Hast",https://open.spotify.com/track/3qKvcl5QqVVuqrEWFLrLMJ
3DryLCFM5VcSok0yI5pzw6,Lý do nào ?? quay l?i v?i nhau ?,VT,https://open.spotify.com/track/3DryLCFM5VcSok0yI5pzw6
1PwaWqjJRnJaYXyibDRhhb,??ng Nghe Máy x 23:59 - #SS,#SSdaRealest,https://open.spotify.com/track/1PwaWqjJRnJaYXyibDRhhb
6mO1yjYY2htYQdg7VcEzGg,Anh Mu?n Nghe Gi?ng Em Nói,"Nguyên, Seth",https://open.spotify.com/track/6mO1yjYY2htYQdg7VcEzGg
7uT0kSSX2r5t2CnyA68F5o,c? ng? s? bên nhau...,?? Ng?c Khánh,https://open.spotify.com/track/7uT0kSSX2r5t2CnyA68F5o
0bXK9dJ7nEvDru9REj0U0L,"? m?t cu?c ??i khác, ta s? l?i g?p nhau",FiGDee,https://open.spotify.com/track/0bXK9dJ7nEvDru9REj0U0L
783TVgSZXI92RfKqwOrbd4,Nh?ng Gì ?ã Qua - Beat,Arrow,https://open.spotify.com/track/783TVgSZXI92RfKqwOrbd4
0OVwM8OYnaYLpcun5fDLYj,??ng Ai Nh?c V? Cô ?y,Nguy?n V?n S? (V.S?),https://open.spotify.com/track/0OVwM8OYnaYLpcun5fDLYj
0A0oqleZkyD8FN6aW48Jzn,Yên Bình Có Quá ??t Không,Khiem,https://open.spotify.com/track/0A0oqleZkyD8FN6aW48Jzn
